FilePath,Package,ClassName,FieldName,Id,parentId,FieldType,Annotations
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistItem.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistItem,minimumValue,729,,BigInteger,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistItem.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistItem,minimumValue2,730,,BigInteger,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\entities\CustomField.java,ch.cern.eam.wshub.core.services.entities,CustomField,minValue,731,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,mobileDateAcknowledged,732,,String,"@GridField(name = ""mobiledateacknowledged""), @InforField(xpath = ""MOBILEDATEACKNOWLEDGED"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\Employee.java,ch.cern.eam.wshub.core.services.workorders.entities,Employee,mobilePhone,733,,String,"@Column(name = ""PER_MOBILEPHONENO""), @InforField(xpath = ""MOBILEPHONENUMBER"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\Equipment.java,ch.cern.eam.wshub.core.services.equipment.entities,Equipment,model,734,,String,"@Transient, @InforField(xpath = ""ManufacturerInfo/MODEL"", nullifyParentLevel = 0)"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\EquipmentConfigurationEntity.java,ch.cern.eam.wshub.core.services.equipment.entities,EquipmentConfigurationEntity,model,735,,String,"@Transient, @InforField(xpath = ""TrackingDetails/MODEL"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\EquipmentConfigurationEntity.java,ch.cern.eam.wshub.core.services.equipment.entities,EquipmentConfigurationEntity,modelRevision,736,,String,"@Transient, @InforField(xpath = ""TrackingDetails/MODELREVISION"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\grids\entities\GridRequestResult.java,ch.cern.eam.wshub.core.services.grids.entities,GridRequestResult,moreRowsPresent,737,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\Employee.java,ch.cern.eam.wshub.core.services.workorders.entities,Employee,MRC,738,,String,"@Column(name = ""PER_MRC""), @InforField(xpath = ""DEPARTMENTCODE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\grids\entities\GridField.java,ch.cern.eam.wshub.core.services.grids.entities,GridField,name,739,,String,"@Column(name = ""GFD_TAGNAME"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\tools\ExceptionInfo.java,ch.cern.eam.wshub.core.tools,ExceptionInfo,name,740,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,ncfestlaborcost,741,,BigDecimal,"@GridField(name = ""ncfestlaborcost""), @InforField(xpath = ""TrackingDetails/ESTIMATEDLABORCOST"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,ncfestmatlcost,742,,BigDecimal,"@GridField(name = ""ncfestmatlcost""), @InforField(xpath = ""TrackingDetails/ESTIMATEDMATERIALCOST"")"
